model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2017,11500,Automatic,34468,Diesel,0,67.3,1.5
 Fiesta,2018,12300,Manual,11173,Petrol,150,56.5,1
 Focus,2017,11100,Automatic,42500,Diesel,145,67.3,1.5
 Fiesta,2019,10900,Manual,7342,Petrol,145,55.4,1.1
 Fiesta,2014,9000,Automatic,22311,Petrol,0,57.7,1
 Fiesta,2016,7600,Manual,17838,Petrol,125,54.3,1.2
 Fiesta,2016,10200,Manual,29550,Petrol,145,47.9,1.6
 Fiesta,2019,12600,Manual,12663,Petrol,145,58.9,1
 Focus,2017,12199,Manual,17954,Diesel,150,74.3,1.5
 EcoSport,2019,16799,Automatic,433,Petrol,150,45.6,1
 EcoSport,2019,17399,Automatic,246,Petrol,150,45.6,1
 Focus,2017,11999,Manual,12485,Petrol,150,60.1,1
 Fiesta,2016,8500,Manual,23676,Petrol,20,62.8,1
 Fiesta,2016,8700,Manual,15000,Petrol,0,65.7,1
 EcoSport,2019,15999,Manual,2410,Petrol,150,53.3,1
 Fiesta,2019,12999,Manual,8732,Petrol,145,58.9,1
 Fiesta,2019,12999,Manual,9307,Petrol,145,58.9,1
 Fiesta,2019,14199,Automatic,6335,Petrol,145,48.7,1
 EcoSport,2016,8299,Manual,36711,Diesel,30,64.2,1.5
 Fiesta,2019,14399,Automatic,6967,Petrol,145,48.7,1
 Fiesta,2016,8799,Manual,10380,Petrol,0,65.7,1
 Fiesta,2016,8200,Manual,21731,Petrol,0,65.7,1
 Focus,2017,10800,Manual,40000,Diesel,0,74.3,1.5
 Focus,2017,11200,Manual,14341,Diesel,0,74.3,1.5
 Focus,2017,10700,Manual,26715,Petrol,150,60.1,1
 Focus,2016,9800,Manual,27861,Petrol,20,60.1,1
 Focus,2015,10500,Automatic,6693,Petrol,165,44.8,1.6
 Fiesta,2017,6900,Manual,37052,Petrol,125,54.3,1.2
 Fiesta,2015,8700,Manual,31399,Petrol,0,65.7,1
 Fiesta,2020,15999,Manual,183,Petrol,150,55.4,1
 EcoSport,2019,16799,Automatic,433,Petrol,150,45.6,1
 Fiesta,2018,11999,Manual,6150,Petrol,150,65.7,1
 Fiesta,2017,8999,Manual,40561,Petrol,20,62.8,1
 Focus,2016,10200,Manual,12427,Petrol,20,61.4,1
 Focus,2017,15900,Manual,30884,Diesel,20,67.3,2
 Focus,2016,10100,Manual,38638,Diesel,0,74.3,1.5
 Focus,2016,10800,Automatic,15903,Petrol,125,51.4,1
 EcoSport,2016,9850,Automatic,19243,Petrol,160,44.8,1.5
 EcoSport,2017,10000,Manual,24891,Petrol,125,52.3,1
 EcoSport,2016,8400,Manual,36701,Petrol,125,53.3,1
 EcoSport,2017,10500,Manual,11896,Petrol,125,52.3,1
 Fiesta,2016,7800,Manual,29512,Petrol,0,65.7,1
 Fiesta,2016,7900,Manual,29326,Petrol,0,65.7,1
 Focus,2015,9100,Manual,38379,Diesel,0,74.3,1.5
 Fiesta,2016,7500,Manual,44264,Petrol,0,65.7,1
 Fiesta,2016,8200,Manual,29529,Petrol,0,65.7,1
 Fiesta,2016,8700,Manual,12110,Petrol,0,65.7,1
 Fiesta,2016,8900,Manual,35500,Petrol,20,62.8,1
 Fiesta,2017,7995,Manual,41589,Petrol,145,65.7,1
 Fiesta,2017,9995,Manual,24826,Petrol,150,65.7,1
 Focus,2017,10295,Manual,46713,Petrol,20,60.1,1
 Focus,2017,10995,Manual,24449,Petrol,150,60.1,1
 Fiesta,2014,7900,Manual,14175,Petrol,0,65.7,1
 EcoSport,2017,9450,Manual,8724,Petrol,150,52.3,1
 Focus,2017,9650,Manual,27000,Petrol,150,61.4,1
 Fiesta,2016,8650,Manual,27241,Petrol,20,62.8,1
 Focus,2017,12489,Manual,13530,Diesel,150,74.3,1.5
 Fiesta,2017,9989,Semi-Auto,16019,Petrol,150,57.7,1
 Focus,2018,14295,Manual,10585,Petrol,145,57.7,1
 Fiesta,2016,9295,Manual,35150,Petrol,0,65.7,1
 Fiesta,2018,10795,Manual,41008,Petrol,145,56.5,1
 EcoSport,2019,14695,Manual,9316,Petrol,145,53.3,1
 Focus,2011,4495,Manual,77000,Petrol,145,47.9,1.6
 Focus,2011,4695,Manual,67000,Petrol,145,47.9,1.6
 Focus,2015,12200,Manual,38773,Diesel,20,67.3,2
 Fiesta,2016,7500,Manual,36421,Petrol,0,65.7,1
 Fiesta,2015,7100,Manual,33428,Petrol,0,65.7,1
 Focus,2017,11800,Manual,16612,Diesel,0,74.3,1.5
 Focus,2014,8100,Manual,39612,Diesel,20,67.3,1.6
 Fiesta,2016,11000,Manual,25921,Petrol,145,47.9,1.6
 Focus,2017,10150,Manual,29301,Diesel,0,74.3,1.5
 Fiesta,2018,11250,Manual,29463,Petrol,150,62.8,1
 Fiesta,2018,13495,Manual,6019,Petrol,145,65.7,1
 EcoSport,2018,13995,Manual,15080,Petrol,145,54.3,1
 Fiesta,2019,13489,Manual,11268,Petrol,145,58.9,1
 Focus,2015,9489,Manual,38000,Diesel,0,74.3,1.5
 Fiesta,2019,11489,Manual,7199,Petrol,150,58.9,1
 Fiesta,2016,7489,Manual,33000,Petrol,125,54.3,1.2
 Focus,2017,10789,Automatic,22000,Petrol,150,51.4,1
 Fiesta,2017,9789,Semi-Auto,21899,Petrol,0,57.7,1
 Focus,2017,10989,Manual,20000,Petrol,150,60.1,1
 Focus,2017,12299,Manual,12100,Petrol,150,60.1,1
 Focus,2017,10989,Manual,11256,Petrol,150,60.1,1
 Fiesta,2018,10489,Manual,11704,Petrol,150,65.7,1
 Fiesta,2018,10489,Manual,15402,Petrol,150,65.7,1
 Focus,2018,13489,Semi-Auto,3549,Diesel,150,74.3,1.5
 EcoSport,2018,13799,Manual,8244,Petrol,145,54.3,1
 Fiesta,2018,10489,Manual,19137,Petrol,150,65.7,1
 Fiesta,2018,10489,Manual,19510,Petrol,150,65.7,1
 Focus,2016,10489,Automatic,12416,Petrol,125,51.4,1
 Focus,2019,14489,Manual,13765,Petrol,145,58.9,1
 Fiesta,2015,7189,Manual,28101,Petrol,125,54.3,1.2
 Focus,2019,17289,Manual,12030,Petrol,145,60.1,1
 Fiesta,2016,7999,Manual,15074,Petrol,125,54.3,1.2
 Focus,2016,9800,Manual,44162,Diesel,20,70.6,2
 Fiesta,2017,8600,Manual,26068,Petrol,145,65.7,1
 Focus,2015,8000,Manual,50000,Petrol,20,60.1,1
 Fiesta,2016,7250,Manual,38830,Petrol,0,65.7,1
 Focus,2017,11500,Automatic,20733,Petrol,150,51.4,1
 Fiesta,2017,11999,Manual,20479,Petrol,145,47.9,1.6
 Focus,2017,10999,Manual,16714,Diesel,145,74.3,1.5
 Focus,2019,16999,Manual,3211,Petrol,145,60.1,1
 Focus,2019,24999,Manual,6746,Petrol,145,34.5,2.3
 Fiesta,2019,11999,Manual,4800,Petrol,145,58.9,1
 Fiesta,2018,9989,Manual,25379,Petrol,145,65.7,1
 Focus,2018,13989,Manual,7534,Petrol,145,57.7,1
 Focus,2017,12289,Manual,14112,Petrol,145,60.1,1
 Fiesta,2018,11489,Manual,18377,Petrol,150,65.7,1
 Focus,2018,11889,Manual,9610,Petrol,150,60.1,1
 Focus,2016,11489,Manual,19942,Diesel,0,74.3,1.5
 Fiesta,2016,8289,Manual,21000,Petrol,0,65.7,1
 Fiesta,2018,9989,Manual,14826,Petrol,150,64.2,1.1
 Fiesta,2018,9989,Manual,23591,Petrol,150,65.7,1
 Fiesta,2017,9989,Manual,17221,Petrol,145,65.7,1
 EcoSport,2017,8289,Manual,60462,Petrol,125,53.3,1
 Fiesta,2016,7389,Manual,8741,Petrol,125,54.3,1.2
 Focus,2019,16989,Manual,2120,Petrol,145,60.1,1
 EcoSport,2019,13989,Manual,21,Petrol,145,53.3,1
 Focus,2017,10200,Manual,27912,Diesel,0,74.3,1.5
 Focus,2017,10200,Manual,43234,Diesel,0,74.3,1.5
 Focus,2017,10300,Manual,51186,Petrol,125,51.4,1.5
 Focus,2017,10700,Manual,18483,Petrol,20,60.1,1
 Focus,2018,17489,Manual,9028,Petrol,145,41.5,2
 Focus,2017,15289,Manual,23815,Petrol,145,41.5,2
 Fiesta,2017,9589,Manual,8659,Petrol,145,65.7,1
 EcoSport,2017,8789,Manual,23447,Petrol,125,52.3,1
 Focus,2019,17989,Automatic,15623,Diesel,145,74.3,1.5
 Fiesta,2019,19989,Manual,7895,Petrol,150,40.3,1.5
 Fiesta,2020,15250,Manual,4500,Petrol,150,58.9,1
 Focus,2017,10489,Manual,3960,Petrol,20,60.1,1
 Focus,2019,15789,Manual,8800,Petrol,150,60.1,1
 Fiesta,2018,9989,Manual,22922,Petrol,150,65.7,1
 Fiesta,2016,9489,Semi-Auto,18708,Petrol,145,47.9,1.6
 Fiesta,2017,7489,Manual,29094,Petrol,145,65.7,1
 Focus,2019,18000,Manual,881,Petrol,150,60.1,1
 Fiesta,2017,8489,Manual,31902,Petrol,145,65.7,1
 Fiesta,2012,3989,Manual,73994,Petrol,20,68.9,1.4
 Fiesta,2009,3789,Manual,71672,Diesel,20,67.3,1.6
 Fiesta,2014,7989,Semi-Auto,12800,Petrol,0,57.7,1
 Focus,2017,8289,Manual,43839,Petrol,20,61.4,1
 Fiesta,2017,9489,Manual,37069,Petrol,0,57.7,1
 EcoSport,2016,8389,Manual,36335,Petrol,125,53.3,1
 Focus,2017,8949,Manual,43931,Petrol,20,61.4,1
 Fiesta,2017,8489,Automatic,68127,Petrol,0,57.7,1
 Focus,2017,9989,Manual,31856,Petrol,145,60.1,1
 Focus,2016,9689,Manual,31432,Petrol,20,60.1,1
 Fiesta,2014,8000,Automatic,26358,Petrol,145,47.9,1.6
 Fiesta,2016,9000,Manual,40249,Diesel,0,78.5,1.5
 Focus,2015,10500,Manual,22249,Petrol,20,60.1,1
 Focus,2018,13000,Manual,24716,Diesel,150,74.3,1.5
 Fiesta,2014,8000,Manual,21155,Petrol,0,65.7,1
 Focus,2017,13000,Manual,15362,Diesel,150,74.3,1.5
 Focus,2018,18000,Automatic,8607,Petrol,145,47.9,1.5
 Fiesta,2015,7500,Manual,55478,Petrol,20,62.8,1
 Fiesta,2019,14800,Manual,368,Petrol,150,58.9,1
 Focus,2018,12500,Manual,18605,Petrol,145,57.7,1
 Fiesta,2017,10300,Manual,18667,Petrol,150,65.7,1
 Fiesta,2014,9700,Manual,26097,Petrol,150,47.9,1.6
 Focus,2017,10700,Manual,44901,Diesel,150,74.3,1.5
 Fiesta,2017,9200,Manual,9530,Petrol,125,54.3,1.2
 Fiesta,2018,10300,Manual,27516,Petrol,145,65.7,1
 Fiesta,2017,9800,Manual,25708,Petrol,0,65.7,1
 EcoSport,2017,11000,Manual,24934,Petrol,125,52.3,1
 Fiesta,2018,10500,Manual,24518,Petrol,150,65.7,1
 Fiesta,2017,10000,Manual,22060,Petrol,150,65.7,1
 Focus,2017,11200,Manual,23898,Diesel,0,74.3,1.5
 Fiesta,2017,9500,Manual,27804,Petrol,20,62.8,1
 Fiesta,2017,11000,Manual,22728,Petrol,0,65.7,1
 Focus,2017,11800,Manual,13601,Petrol,20,60.1,1
 Focus,2018,13500,Manual,25535,Diesel,150,74.3,1.5
 Fiesta,2018,9300,Manual,20901,Petrol,150,55.4,1.1
 Focus,2014,7800,Manual,40857,Diesel,125,57.7,2
 Focus,2019,18500,Automatic,7892,Petrol,150,51.4,1
 Fiesta,2019,13300,Automatic,1987,Petrol,150,48.7,1
 Fiesta,2016,9700,Manual,28826,Petrol,20,62.8,1
 Fiesta,2019,12500,Manual,14063,Petrol,145,58.9,1
 Focus,2018,13500,Manual,11941,Petrol,145,57.7,1
 Fiesta,2019,12800,Manual,13385,Petrol,145,56.5,1
 Focus,2016,12000,Manual,25060,Petrol,125,51.4,1.5
 Fiesta,2018,9689,Manual,11000,Petrol,145,55.4,1.1
 Fiesta,2017,11989,Manual,26672,Petrol,145,47.9,1.6
 Focus,2018,17000,Automatic,16556,Diesel,145,74.3,1.5
 Focus,2018,12989,Manual,17989,Diesel,145,74.3,1.5
 Focus,2018,16289,Manual,8724,Diesel,145,80.7,1.5
 Focus,2019,18139,Manual,17522,Petrol,145,50.4,1.5
 Focus,2017,10789,Manual,21847,Petrol,145,60.1,1
 Focus,2019,17249,Manual,7956,Diesel,145,74.3,1.5
 Focus,2019,18489,Manual,9567,Diesel,145,57.7,1.5
 Fiesta,2018,9999,Manual,19801,Petrol,145,65.7,1
 Focus,2017,10989,Manual,17161,Petrol,145,61.4,1
 Fiesta,2015,6889,Manual,36000,Petrol,30,54.3,1.2
 Fiesta,2016,8189,Manual,22887,Petrol,125,54.3,1.2
 Focus,2016,10489,Manual,24121,Petrol,20,61.4,1
 Fiesta,2017,10289,Manual,20809,Petrol,145,65.7,1
 Fiesta,2017,9400,Manual,9405,Petrol,145,54.3,1.2
 Focus,2017,12300,Automatic,27823,Diesel,0,67.3,1.5
 Focus,2018,18000,Automatic,14557,Diesel,145,74.3,1.5
 EcoSport,2019,17800,Automatic,1080,Petrol,145,44.1,1
 Focus,2019,16000,Manual,6348,Petrol,145,60.1,1
 Fiesta,2018,11000,Manual,21979,Diesel,145,88.3,1.5
 Focus,2017,13000,Automatic,1446,Petrol,150,51.4,1
 Focus,2019,16000,Manual,8497,Diesel,145,62.8,1.5
 Focus,2020,17000,Manual,4076,Petrol,145,58.9,1
 Focus,2015,8700,Manual,61294,Diesel,0,74.3,1.5
 Fiesta,2017,10700,Manual,20409,Petrol,145,62.8,1
 Fiesta,2016,8700,Manual,19706,Petrol,125,54.3,1.2
 Focus,2015,9800,Manual,20498,Petrol,20,61.4,1
 Focus,2015,10000,Manual,18896,Diesel,0,74.3,1.5
 Focus,2016,9000,Manual,44317,Diesel,0,74.3,1.5
 Fiesta,2018,9400,Manual,30347,Petrol,145,64.2,1.1
 EcoSport,2017,10200,Automatic,25524,Petrol,160,44.8,1.5
 Fiesta,2017,12000,Automatic,12983,Petrol,145,57.7,1
 Fiesta,2016,8000,Manual,32560,Petrol,20,62.8,1
 Fiesta,2015,10300,Manual,36569,Petrol,145,47.9,1.6
 Fiesta,2017,11700,Manual,37867,Petrol,145,47.9,1.6
 Focus,2018,13000,Manual,9738,Petrol,145,57.7,1
 Fiesta,2014,6500,Manual,34522,Petrol,30,54.3,1.2
 Fiesta,2014,7000,Manual,30709,Petrol,0,65.7,1
 Fiesta,2017,10800,Manual,26247,Petrol,145,65.7,1
 Fiesta,2013,6800,Manual,32638,Petrol,30,54.3,1.2
 Fiesta,2017,9800,Manual,18647,Petrol,0,65.7,1
 Fiesta,2016,8600,Manual,19873,Petrol,125,54.3,1.2
 Fiesta,2017,9000,Manual,32469,Petrol,145,65.7,1
 Fiesta,2014,7000,Manual,44720,Petrol,0,65.7,1
 Fiesta,2018,11000,Manual,31680,Petrol,145,65.7,1
 Focus,2017,17500,Manual,22864,Petrol,145,41.5,2
 Fiesta,2018,11200,Manual,20867,Petrol,145,56.5,1
 Fiesta,2018,11500,Manual,17450,Petrol,145,56.5,1
 Focus,2018,13800,Manual,22889,Diesel,145,58.9,1
 Fiesta,2017,10300,Manual,17933,Petrol,145,65.7,1
 Fiesta,2016,10400,Manual,26677,Diesel,0,78.5,1.5
 EcoSport,2019,16400,Manual,3947,Petrol,145,51.4,1
 Focus,2017,11300,Manual,21786,Diesel,145,74.3,1.5
 Fiesta,2017,9000,Manual,25653,Petrol,145,65.7,1
 Fiesta,2016,8400,Manual,22422,Petrol,125,54.3,1.2
 Fiesta,2017,10500,Manual,12542,Petrol,145,65.7,1
 Fiesta,2016,10300,Manual,17586,Petrol,0,65.7,1
 Fiesta,2015,9300,Manual,33259,Diesel,0,78.5,1.5
 Fiesta,2017,10300,Manual,20914,Petrol,0,65.7,1
 Fiesta,2016,8200,Manual,35865,Petrol,0,65.7,1
 Fiesta,2016,8100,Manual,16158,Petrol,125,54.3,1.2
 Fiesta,2017,8700,Manual,24360,Diesel,0,78.5,1.5
 Fiesta,2016,8000,Manual,32737,Petrol,0,65.7,1
 Fiesta,2015,7500,Manual,33399,Petrol,0,65.7,1
 Focus,2017,19000,Manual,8938,Petrol,145,41.5,2
 Fiesta,2016,10700,Manual,36004,Petrol,145,47.9,1.6
 Fiesta,2017,9900,Manual,15920,Petrol,0,65.7,1
 Focus,2013,6000,Manual,50081,Petrol,20,58.9,1
 Fiesta,2014,5995,Manual,59674,Petrol,0,65.7,1
 EcoSport,2015,8995,Manual,36000,Petrol,155,44.8,1.5
 EcoSport,2018,15800,Automatic,2261,Petrol,145,45.6,1
 Fiesta,2016,9600,Manual,17457,Petrol,0,65.7,1
 Focus,2018,11900,Manual,17144,Petrol,145,60.1,1
 Fiesta,2018,10000,Manual,14005,Petrol,145,55.4,1.1
 Fiesta,2018,11300,Manual,14619,Petrol,145,65.7,1
 Focus,2019,16000,Manual,26672,Petrol,145,60.1,1
 Focus,2017,12700,Manual,25746,Diesel,145,74.3,1.5
 Fiesta,2018,11000,Manual,12518,Petrol,150,65.7,1
 Fiesta,2016,10800,Manual,20615,Petrol,20,62.8,1
 Fiesta,2019,12500,Manual,10956,Petrol,145,60.1,1
 Focus,2018,11300,Manual,16617,Petrol,145,60.1,1
 Focus,2017,12500,Automatic,21697,Petrol,150,51.4,1
 Focus,2018,12500,Manual,15183,Petrol,145,57.7,1
 Fiesta,2019,13200,Manual,2096,Petrol,145,64.2,1
 Fiesta,2015,7700,Manual,52210,Petrol,30,55.4,1
 Focus,2015,9500,Manual,34319,Diesel,30,64.2,1.5
 Focus,2019,15500,Manual,8555,Petrol,150,60.1,1
 Focus,2013,7900,Manual,41398,Diesel,20,67.3,1.6
 Fiesta,2013,6300,Manual,42700,Petrol,30,54.3,1.2
 Fiesta,2016,8600,Manual,17050,Petrol,125,54.3,1.2
 Fiesta,2014,7500,Manual,46683,Petrol,0,65.7,1
 Fiesta,2016,8700,Manual,19928,Petrol,125,54.3,1.2
 Focus,2016,11500,Manual,6071,Diesel,0,74.3,1.5
 Focus,2017,12600,Manual,16043,Petrol,145,60.1,1
 Focus,2017,11700,Manual,20691,Petrol,145,60.1,1
 Focus,2016,9600,Manual,27036,Diesel,0,74.3,1.5
 EcoSport,2015,9000,Automatic,33161,Petrol,160,44.8,1.5
 Fiesta,2019,12500,Manual,11260,Petrol,145,60.1,1
 Fiesta,2019,13000,Manual,12910,Petrol,145,58.9,1
 Fiesta,2017,10300,Manual,12218,Petrol,145,65.7,1
 Fiesta,2016,8200,Manual,34318,Petrol,125,54.3,1.2
 Fiesta,2017,8800,Manual,47156,Petrol,20,62.8,1
 Fiesta,2017,9500,Manual,29809,Petrol,0,65.7,1
 Fiesta,2017,9200,Manual,32463,Petrol,0,65.7,1
 Fiesta,2016,9000,Manual,40789,Petrol,20,62.8,1
 Focus,2016,9900,Manual,18139,Petrol,20,60.1,1
 Focus,2017,12500,Automatic,17560,Petrol,145,51.4,1
 EcoSport,2015,8500,Manual,33403,Diesel,30,61.4,0
 Fiesta,2017,10700,Manual,26762,Petrol,0,65.7,1
 Fiesta,2016,9000,Manual,33327,Petrol,0,65.7,1
 Focus,2018,15800,Automatic,9816,Petrol,150,51.4,1
 Fiesta,2016,10500,Manual,27958,Petrol,0,65.7,1
 Fiesta,2015,7200,Manual,36740,Petrol,125,54.3,1.2
 Fiesta,2019,11600,Manual,16127,Petrol,145,60.1,1
 Fiesta,2017,10000,Manual,20109,Petrol,150,65.7,1
 Focus,2016,10000,Manual,46008,Diesel,0,74.3,1.5
 Fiesta,2017,11000,Manual,19698,Petrol,150,65.7,1
 Fiesta,2016,10800,Manual,19030,Petrol,20,62.8,1
 Fiesta,2017,10500,Manual,15244,Petrol,145,65.7,1
 Focus,2019,18000,Manual,5731,Petrol,145,60.1,1
 Fiesta,2017,12000,Manual,7626,Petrol,20,62.8,1
 Fiesta,2018,10300,Manual,28480,Petrol,145,65.7,1
 EcoSport,2019,17400,Automatic,8607,Petrol,145,44.1,1
 Fiesta,2017,8800,Manual,38317,Petrol,150,65.7,1
 Fiesta,2017,12000,Manual,23423,Petrol,145,47.9,1.6
 Fiesta,2019,14000,Manual,9427,Petrol,145,55.4,1
 Focus,2017,11700,Automatic,24775,Petrol,125,51.4,1
 Fiesta,2017,12000,Automatic,6794,Petrol,0,57.7,1
 Focus,2019,17700,Manual,1864,Petrol,145,60.1,1
 EcoSport,2017,10900,Manual,21057,Petrol,125,52.3,1
 Focus,2017,12300,Manual,32333,Diesel,145,74.3,1.5
 Fiesta,2015,7700,Manual,31299,Petrol,125,54.3,1.2
 Focus,2017,11000,Manual,31479,Diesel,145,74.3,1.5
 Fiesta,2015,8000,Manual,33011,Petrol,125,54.3,1.2
 Fiesta,2017,11800,Manual,36069,Petrol,145,47.9,1.6
 EcoSport,2017,9400,Manual,11653,Petrol,160,44.8,1.5
 Focus,2015,8900,Manual,47393,Diesel,0,74.3,1.5
 Focus,2017,12300,Manual,14724,Petrol,20,60.1,1
 Focus,2018,12700,Manual,13198,Petrol,145,57.7,1
 Fiesta,2019,12400,Manual,13523,Petrol,145,60.1,1
 Fiesta,2016,9800,Automatic,6806,Petrol,150,47.9,1.6
 Fiesta,2014,7500,Manual,13585,Petrol,0,65.7,1
 Fiesta,2015,6600,Manual,46794,Petrol,125,54.3,1.2
 Focus,2016,12000,Automatic,14436,Petrol,145,46.3,1.5
 Fiesta,2017,11000,Manual,25292,Petrol,0,65.7,1
 Fiesta,2019,15000,Manual,9930,Diesel,145,58.9,1.5
 Fiesta,2013,7000,Manual,38142,Petrol,0,65.7,1
 Focus,2015,8400,Manual,54451,Diesel,0,74.3,1.5
 Fiesta,2014,9300,Automatic,8431,Petrol,145,47.9,1.6
 Focus,2016,10600,Manual,29984,Petrol,20,60.1,1
 Fiesta,2018,12000,Manual,28733,Petrol,145,65.7,1
 Focus,2016,10800,Manual,18218,Diesel,0,74.3,1.5
 Focus,2019,18500,Automatic,11716,Diesel,145,74.3,1.5
 Focus,2016,9300,Manual,33547,Diesel,0,74.3,1.5
 Focus,2018,14300,Manual,18883,Diesel,145,80.7,1.5
 Fiesta,2016,9400,Manual,10791,Petrol,125,54.3,1.2
 Focus,2017,17600,Manual,16393,Petrol,200,41.5,2
 Fiesta,2018,11500,Automatic,23908,Petrol,145,54.3,1
 Focus,2018,13500,Manual,26159,Petrol,145,58.9,1
 Focus,2016,9300,Manual,26000,Petrol,20,61.4,1
 Fiesta,2019,13800,Manual,5111,Petrol,145,58.9,1
 Fiesta,2017,10800,Manual,16959,Petrol,145,62.8,1
 Fiesta,2017,10000,Manual,19638,Petrol,20,62.8,1
 Fiesta,2016,8900,Manual,46894,Diesel,0,78.5,1.5
 Fiesta,2015,6200,Manual,17953,Petrol,30,54.3,1.2
 Fiesta,2018,12500,Manual,16936,Petrol,145,62.8,1
 Fiesta,2017,11000,Automatic,19133,Petrol,145,57.7,1
 Fiesta,2018,9000,Manual,29033,Petrol,145,64.2,1.1
 Fiesta,2017,10300,Manual,14991,Petrol,145,65.7,1
 Fiesta,2017,10300,Manual,23041,Petrol,145,65.7,1
 Fiesta,2018,9500,Manual,12438,Petrol,145,64.2,1.1
 Fiesta,2016,8600,Manual,25929,Petrol,125,54.3,1.2
 Fiesta,2018,11400,Manual,30144,Petrol,145,65.7,1
 Focus,2017,12700,Manual,21388,Diesel,145,74.3,1.5
 Fiesta,2018,12300,Manual,20536,Petrol,0,69,1
 Fiesta,2017,10800,Manual,25591,Diesel,0,78.5,1.5
 Fiesta,2016,9100,Manual,13425,Petrol,0,65.7,1
 Focus,2019,14200,Manual,20986,Diesel,145,80.7,1.5
 Focus,2018,14400,Manual,16931,Diesel,145,80.7,1.5
 Fiesta,2018,11700,Manual,33913,Petrol,145,65.7,1
 Fiesta,2017,10200,Manual,31804,Diesel,0,78.5,1.5
 Fiesta,2015,6800,Manual,32204,Petrol,30,54.3,1.2
 Focus,2014,9000,Manual,32516,Diesel,20,67.3,1.6
 Fiesta,2015,9600,Manual,18810,Petrol,20,62.8,1
 Fiesta,2017,8500,Manual,12254,Petrol,150,64.2,1.1
 Focus,2017,10799,Automatic,21693,Petrol,150,51.4,1
 Focus,2017,10499,Manual,41600,Diesel,0,74.3,1.5
 Focus,2016,7000,Manual,94581,Petrol,125,51.4,1.5
 Focus,2015,7499,Automatic,67331,Petrol,160,44.8,1.6
 EcoSport,2017,9299,Manual,22186,Petrol,145,44.8,1.5
 Focus,2016,12000,Automatic,80468,Diesel,30,61.4,2
 Fiesta,2018,10000,Manual,10200,Petrol,150,65.7,1
 Focus,2015,6500,Manual,88220,Diesel,0,74.3,1.5
 Focus,2017,8295,Manual,60030,Diesel,145,74.3,1.5
 Fiesta,2016,8195,Automatic,35230,Petrol,150,47.9,1.6
 Focus,2015,7695,Manual,50380,Diesel,0,74.3,1.5
 Focus,2016,11695,Manual,57420,Diesel,20,67.3,2
 Focus,2017,11490,Manual,19579,Petrol,140,60.1,1
 Fiesta,2019,15990,Manual,11509,Petrol,145,40.3,1.5
 Fiesta,2017,9000,Manual,29117,Petrol,0,65.7,1
 Fiesta,2018,10000,Manual,14425,Petrol,145,55.4,1.1
 Focus,2019,16800,Automatic,2220,Diesel,145,67.3,1.5
 Fiesta,2016,9300,Manual,18798,Diesel,0,88.3,1.5
 Focus,2017,17000,Manual,17510,Petrol,200,41.5,2
 Fiesta,2017,10500,Manual,31779,Petrol,0,65.7,1
 Fiesta,2014,6300,Manual,40178,Petrol,30,54.3,1.2
 EcoSport,2018,14500,Manual,9961,Petrol,145,54.3,1
 Fiesta,2016,9000,Manual,25122,Petrol,0,65.7,1
 EcoSport,2017,9375,Manual,9633,Diesel,145,44.8,1.5
 Focus,2016,9275,Manual,27450,Petrol,20,61.4,1
 EcoSport,2017,11495,Automatic,19050,Petrol,160,44.8,1.5
 EcoSport,2019,17650,Automatic,3323,Petrol,145,45.6,1
 Fiesta,2017,8250,Manual,18234,Petrol,145,65.7,1
 Fiesta,2009,3895,Manual,61171,Petrol,145,49.6,1.2
 Fiesta,2017,7995,Manual,25406,Petrol,125,54.3,1.2
 Fiesta,2019,18500,Manual,5289,Petrol,145,40.3,1.5
 Focus,2017,11375,Manual,19484,Petrol,145,60.1,1
 Focus,2018,11750,Manual,25465,Diesel,145,74.3,1.5
 Fiesta,2019,12350,Manual,3977,Petrol,145,56.5,1
 Focus,2017,9725,Manual,18291,Diesel,0,74.3,1.5
 Fiesta,2010,6295,Manual,34000,Petrol,145,48.7,1.4
 Fiesta,2016,8795,Manual,38886,Petrol,0,65.7,1
 Fiesta,2016,8500,Manual,23457,Petrol,0,65.7,1
 Focus,2018,14985,Manual,5400,Petrol,150,58.9,1
 Fiesta,2017,9985,Manual,13555,Petrol,145,65.7,1
 Focus,2009,1999,Manual,113492,Petrol,200,42.2,1.6
 Fiesta,2006,1299,Manual,97556,Diesel,30,62.8,1.4
 Focus,2010,2499,Manual,87023,Diesel,30,62.8,1.6
 Focus,2009,2495,Manual,107000,Petrol,205,42.2,1.6
 Focus,2009,2995,Manual,98000,Diesel,145,54.3,1.8
 Fiesta,2017,9250,Manual,21128,Petrol,0,65.7,1
 Fiesta,2016,9689,Manual,24989,Petrol,0,65.7,1
 Fiesta,2017,9850,Manual,19610,Petrol,0,65.7,1
 Focus,2016,14695,Manual,33896,Diesel,20,67.3,2
 Fiesta,2014,6495,Manual,46000,Petrol,30,54.3,1.2
 Fiesta,2013,7995,Semi-Auto,23000,Petrol,145,47.9,1.6
 Fiesta,2013,7250,Manual,33000,Diesel,0,76.4,1.5
 Focus,2018,13750,Manual,14000,Petrol,150,51.4,1.5
 Focus,2015,8750,Manual,41000,Diesel,0,74.3,1.5
 Focus,2017,18900,Manual,16000,Petrol,200,41.5,2
 Fiesta,2018,13000,Manual,16800,Petrol,145,58.9,1
